time,open,high,low,close,volume
2023-01-01 00:00:00,1.20000,1.20050,1.19950,1.20020,100
2023-01-01 00:01:00,1.20020,1.20070,1.20000,1.20050,120
2023-01-01 00:02:00,1.20050,1.20080,1.20030,1.20060,110
2023-01-01 00:03:00,1.20060,1.20100,1.20040,1.20080,150
2023-01-01 00:04:00,1.20080,1.20120,1.20060,1.20100,140
2023-01-01 00:05:00,1.20100,1.20150,1.20080,1.20130,130
2023-01-01 00:06:00,1.20130,1.20170,1.20110,1.20150,120
2023-01-01 00:07:00,1.20150,1.20180,1.20130,1.20160,110
2023-01-01 00:08:00,1.20160,1.20190,1.20140,1.20170,100
2023-01-01 00:09:00,1.20170,1.20200,1.20150,1.20180,90
2023-01-01 00:10:00,1.20180,1.20220,1.20160,1.20200,110
